Player Name,Position,HPPR,HPPR per Game
Anthony Richardson,QB,405.1,23.83139194
Josh Allen,QB,400.9,23.5836911
Jalen Hurts,QB,368.8,21.69658178
Christian McCaffrey,RB,362.7,21.33823301
CeeDee Lamb,WR,360.7,21.2196201
Patrick Mahomes,QB,352.4,20.72812944
Lamar Jackson,QB,345.5,20.32181538
Jayden Daniels,QB,341.0,20.06102733
Kyren Williams,RB,337.0,19.82200967
Justin Jefferson,WR,336.3,19.77986454
Dak Prescott,QB,331.1,19.477048
Devone Achane,RB,330.0,19.4133609
Brock Purdy,QB,325.5,19.14535014
Ja'Marr Chase,WR,321.8,18.93130758
C.J. Stroud,QB,315.0,18.5284532
Kyler Murray,QB,312.3,18.37207255
Jordan Love,QB,312.3,18.37172978
Deshaun Watson,QB,312.1,18.35904376
Tyreek Hill,WR,311.2,18.30575386
Amon-Ra St. Brown,WR,308.4,18.14142883
Tua Tagovailoa,QB,295.4,17.37568919
Joe Burrow,QB,292.6,17.2106732
Breece Hall,RB,291.0,17.12011732
Baker Mayfield,QB,290.5,17.09078777
Jonathan Taylor,RB,288.6,16.97543098
Jahmyr Gibbs,RB,288.2,16.95527551
Trevor Lawrence,QB,287.3,16.89975342
Justin Herbert,QB,285.3,16.78425699
Bijan Robinson,RB,284.8,16.75246266
Caleb Williams,QB,284.7,16.74978973
Kirk Cousins,QB,283.3,16.6651047
Rachaad White,RB,279.0,16.41309934
Matthew Stafford,QB,270.1,15.89115973
Alvin Kamara,RB,268.6,15.80173413
Travis Etienne Jr.,RB,268.6,15.79955152
A.J. Brown,WR,268.4,15.78902735
Puka Nacua,WR,268.1,15.7680619
Russell Wilson,QB,267.0,15.70752129
Bryce Young,QB,256.2,15.06933914
Jared Goff,QB,255.5,15.0273701
Derek Carr,QB,251.1,14.77319692
Geno Smith,QB,250.3,14.72080159
Joe Mixon,RB,250.1,14.71043122
D'Andre Swift,RB,245.0,14.41039624
Derrick Henry,RB,244.9,14.40609436
Isiah Pacheco,RB,242.0,14.23283788
Michael Pittman Jr.,WR,241.5,14.20684322
DeVonta Smith,WR,240.8,14.16528243
Travis Kelce,TE,240.5,14.1474316
Nico Collins,WR,238.9,14.05120798
Cooper Kupp,WR,237.7,13.98114147
James Cook,RB,237.5,13.96770734
Aaron Rodgers,QB,235.7,13.86425749
Bo Nix,QB,235.2,13.8347212
Daniel Jones,QB,235.1,13.82772934
Saquon Barkley,RB,234.8,13.81411295
Brian Robinson Jr.,RB,234.4,13.78715357
Tee Higgins,WR,232.4,13.67032952
Sam LaPorta,TE,230.4,13.55544987
Amari Cooper,WR,225.8,13.28471611
Chris Olave,WR,223.3,13.13520878
Jordan Addison,WR,222.8,13.10370877
Kenneth Walker III,RB,222.1,13.06360292
Josh Jacobs,RB,221.5,13.03175778
Christian Kirk,WR,219.1,12.89017494
Will Levis,QB,213.7,12.56819992
James Conner,RB,212.2,12.48256538
Aaron Jones,RB,211.8,12.45722865
Zay Flowers,WR,210.2,12.36437634
Raheem Mostert,RB,210.1,12.36063489
Khalil Shakir,WR,204.7,12.03978098
Davonte Adams,WR,203.7,11.98054522
Jaylen Waddle,WR,202.8,11.92972988
J.K. Dobbins,RB,202.5,11.9131336
Tank Dell,WR,202.4,11.9078479
Chris Godwin,WR,200.8,11.8136442
DK Metcalf,WR,200.8,11.81136391
Mike Evans,WR,200.6,11.80024766
Marvin Harrison Jr.,WR,200.3,11.78333013
David Njoku,TE,200.1,11.76794509
Brandon Aiyuk,WR,198.7,11.68824545
Chase Brown,RB,197.8,11.63653352
Gus Edwards,RB,197.6,11.6263954
Evan Engram,TE,196.7,11.57157228
Tyler Lockett,WR,196.2,11.54376661
George Pickens,WR,195.2,11.48280786
Drake London,WR,194.9,11.46439945
Tony Pollard,RB,194.7,11.45346354
Mark Andrews,TE,194.4,11.43643263
Malik Nabers,WR,194.0,11.40964137
Rhamondre Stevenson,RB,193.8,11.39887216
Jayden Reed,WR,193.5,11.38319885
Rashee Rice,WR,192.5,11.3237526
Terry McLaurin,WR,191.8,11.28407304
Ladd McConkey,WR,191.0,11.23721664
Adam Thielen,WR,189.1,11.12634335
Deebo Samuel Sr.,WR,189.0,11.11590043
Trey McBride,TE,187.6,11.0363266
Jake Ferguson,TE,187.5,11.03216608
Devin Singletary,RB,187.0,10.99938863
David Montgomery,RB,186.9,10.99278621
Drake Maye,QB,184.3,10.8401667
Jonathon Brooks,RB,182.7,10.74976567
Zack Moss,RB,181.6,10.68047615
Taysom Hill,TE,180.9,10.64313271
Zamir White,RB,180.4,10.61211446
Najee Harris,RB,179.7,10.57162904
J.J. McCarthy,QB,179.4,10.55118113
Keenan Allen,WR,178.6,10.50397997
DJ Moore,WR,178.3,10.49079412
Garret Wilson,WR,178.2,10.48117023
Dallas Goedert,TE,173.2,10.18693447
Dalton Kincaid,TE,173.1,10.18403243
Stefon Diggs,WR,172.3,10.13330445
Jaylen Warren,RB,171.1,10.06436648
Jameson Williams,WR,170.2,10.01186005
Jerry Jeudy,WR,169.8,9.988165863
George Kittle,TE,168.9,9.935322571
Brian Thomas Jr.,WR,168.1,9.890782953
Nick Chubb,RB,166.5,9.793605763
Calvin Ridley,WR,165.3,9.721151941
Brandin Cooks,WR,163.6,9.625578108
Tyjae Spears,RB,163.5,9.6195398
Jakobi Meyers,WR,162.8,9.57643478
Joshua Palmer,WR,160.9,9.465142062
Rashid Shaheed,WR,160.2,9.422788459
Gabe Davis,WR,159.9,9.403296066
Gardner Minshew,QB,159.4,9.379199917
Courtland Sutton,WR,159.3,9.372746397
Diontae Johnson,WR,159.3,9.371384234
Romeo Doubs,WR,158.9,9.346669068
T.J. Hockenson,TE,158.8,9.341843581
Ezekiel Elliott,RB,157.9,9.285383734
DeAndre Hopkins,WR,157.6,9.268201554
Brock Bowers,TE,157.0,9.238063231
Jaxon Smith-Njigba,WR,156.0,9.174655554
Jerome Ford,RB,155.9,9.167758038
Austin Ekeler,RB,152.7,8.98359111
Javonte Williams,RB,146.1,8.5919073
Rico Dowdle,RB,146.1,8.591459739
Xavier Worthy,WR,145.8,8.577978804
Mike WIlliams,WR,145.3,8.548193981
Cole Kmet,TE,145.1,8.53545111
Rome Odunze,WR,143.2,8.425464257
Kyle Pitts,TE,143.0,8.41114994
Antonio Gibson,RB,142.1,8.356528502
Hollywood Brown,WR,141.0,8.292897707
Marvin Mims,WR,139.1,8.185074464
Ty Chandler,RB,137.8,8.105510176
Josh Downs,WR,137.6,8.096686146
Jermaine Burton,WR,137.1,8.06398173
Kendre Miller,RB,135.4,7.966611265
Isaiah Likely,TE,132.7,7.803274049
Xavier Legette,WR,132.3,7.783985903
Keon Coleman,WR,131.8,7.752576629
Wan'Dale Robinson,WR,131.3,7.725476724
Adonai Mitchell,WR,131.2,7.716422618
Christian Watson,WR,130.3,7.666073019
