"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",SF,"RB1","9","2 out of 5 stars","0"
"2",1,"CeeDee Lamb",DAL,"WR1","7","3 out of 5 stars","0"
"3",1,"Tyreek Hill",MIA,"WR2","6","2 out of 5 stars","0"
"4",1,"Ja'Marr Chase",CIN,"WR3","12","2 out of 5 stars","+2"
"5",1,"Bijan Robinson",ATL,"RB2","12","4 out of 5 stars","+2"
"6",1,"Justin Jefferson",MIN,"WR4","6","3 out of 5 stars","-1"
"7",1,"Amon-Ra St. Brown",DET,"WR5","5","4 out of 5 stars","+1"
"8",1,"Breece Hall",NYJ,"RB3","12","2 out of 5 stars","-4"
"9",2,"A.J. Brown",PHI,"WR6","5","2 out of 5 stars","0"
"10",2,"Garrett Wilson",NYJ,"WR7","12","4 out of 5 stars","+4"
"11",2,"Puka Nacua",LAR,"WR8","6","3 out of 5 stars","0"
"12",2,"Jahmyr Gibbs",DET,"RB4","5","3 out of 5 stars","0"
"13",2,"Jonathan Taylor",IND,"RB5","14","2 out of 5 stars","-3"
"14",2,"Saquon Barkley",PHI,"RB6","5","4 out of 5 stars","-1"
"15",3,"Marvin Harrison Jr.",ARI,"WR9","11","3 out of 5 stars","+2"
"16",3,"Davante Adams",LV,"WR10","10","3 out of 5 stars","-1"
"17",3,"Chris Olave",NO,"WR11","12","3 out of 5 stars","+4"
"18",3,"Derrick Henry",BAL,"RB7","14","3 out of 5 stars","+2"
"19",3,"Kyren Williams",LAR,"RB8","6","3 out of 5 stars","-3"
"20",3,"Brandon Aiyuk",SF,"WR12","9","2 out of 5 stars","+10"
"21",3,"Travis Etienne Jr.",JAC,"RB9","12","2 out of 5 stars","-2"
"22",3,"Drake London",ATL,"WR13","12","4 out of 5 stars","+3"
"23",3,"Josh Allen",BUF,"QB1","12","1 out of 5 stars","-5"
"24",3,"Mike Evans",TB,"WR14","11","3 out of 5 stars","+9"
"25",4,"Jalen Hurts",PHI,"QB2","5","2 out of 5 stars","+4"
"26",4,"Isiah Pacheco",KC,"RB10","6","3 out of 5 stars","+1"
"27",4,"Deebo Samuel Sr.",SF,"WR15","9","2 out of 5 stars","+1"
"28",4,"Jaylen Waddle",MIA,"WR16","6","2 out of 5 stars","+8"
"29",4,"Nico Collins",HOU,"WR17","14","3 out of 5 stars","+2"
"30",4,"Travis Kelce",KC,"TE1","6","3 out of 5 stars","-4"
"31",4,"Sam LaPorta",DET,"TE2","5","3 out of 5 stars","-9"
"32",4,"De'Von Achane",MIA,"RB11","6","3 out of 5 stars","-9"
"33",4,"DJ Moore",CHI,"WR18","7","4 out of 5 stars","+6"
"34",4,"DK Metcalf",SEA,"WR19","10","3 out of 5 stars","+7"
"35",4,"Patrick Mahomes II",KC,"QB3","6","3 out of 5 stars","-3"
"36",4,"Michael Pittman Jr.",IND,"WR20","14","4 out of 5 stars","+2"
"37",4,"Lamar Jackson",BAL,"QB4","14","4 out of 5 stars","-3"
"38",4,"Cooper Kupp",LAR,"WR21","6","3 out of 5 stars","+4"
"39",4,"DeVonta Smith",PHI,"WR22","5","2 out of 5 stars","+6"
"40",4,"Rachaad White",TB,"RB12","11","5 out of 5 stars","-5"
"41",4,"Joe Mixon",HOU,"RB13","14","3 out of 5 stars","+2"
"42",5,"Amari Cooper",CLE,"WR23","10","3 out of 5 stars","+10"
"43",5,"Josh Jacobs",GB,"RB14","10","1 out of 5 stars","-19"
"44",5,"James Cook",BUF,"RB15","12","2 out of 5 stars","-4"
"45",5,"Malik Nabers",NYG,"WR24","11","3 out of 5 stars","+9"
"46",5,"Stefon Diggs",HOU,"WR25","14","3 out of 5 stars","-9"
"47",5,"Anthony Richardson",IND,"QB5","14","5 out of 5 stars","+1"
"48",5,"Kenneth Walker III",SEA,"RB16","10","4 out of 5 stars","-2"
"49",5,"Mark Andrews",BAL,"TE3","14","3 out of 5 stars","0"
"50",5,"George Pickens",PIT,"WR26","9","1 out of 5 stars","+9"
"51",5,"Tee Higgins",CIN,"WR27","12","2 out of 5 stars","+6"
"52",5,"Trey McBride",ARI,"TE4","11","5 out of 5 stars","-5"
"53",5,"C.J. Stroud",HOU,"QB6","14","2 out of 5 stars","-9"
"54",5,"Alvin Kamara",NO,"RB17","12","5 out of 5 stars","-4"
"55",5,"Zay Flowers",BAL,"WR28","14","3 out of 5 stars","0"
"56",5,"Tank Dell",HOU,"WR29","14","3 out of 5 stars","+9"
"57",5,"Christian Kirk",JAC,"WR30","12","4 out of 5 stars","+16"
"58",5,"David Montgomery",DET,"RB18","5","3 out of 5 stars","+4"
"59",6,"Aaron Jones",MIN,"RB19","6","3 out of 5 stars","-6"
"60",6,"Joe Burrow",CIN,"QB7","12","2 out of 5 stars","-4"
"61",6,"Keenan Allen",CHI,"WR31","7","4 out of 5 stars","+7"
"62",6,"Dak Prescott",DAL,"QB8","7","2 out of 5 stars","+2"
"63",6,"Terry McLaurin",WAS,"WR32","14","3 out of 5 stars","+11"
"64",6,"Kyler Murray",ARI,"QB9","11","2 out of 5 stars","+2"
"65",6,"Rhamondre Stevenson",NE,"RB20","14","2 out of 5 stars","-7"
"66",6,"James Conner",ARI,"RB21","11","2 out of 5 stars","-3"
"67",6,"Dalton Kincaid",BUF,"TE5","12","2 out of 5 stars","-16"
"68",6,"Zamir White",LV,"RB22","10","3 out of 5 stars","+3"
"69",6,"Chris Godwin",TB,"WR33","11","3 out of 5 stars","+6"
"70",6,"Najee Harris",PIT,"RB23","9","4 out of 5 stars","-1"
"71",6,"Jordan Love",GB,"QB10","10","5 out of 5 stars","+1"
"72",6,"Calvin Ridley",TEN,"WR34","5","4 out of 5 stars","+7"
"73",6,"D'Andre Swift",CHI,"RB24","7","2 out of 5 stars","-6"
"74",6,"Diontae Johnson",CAR,"WR35","11","5 out of 5 stars","+16"
"75",6,"Jayden Reed",GB,"WR36","10","4 out of 5 stars","+2"
"76",6,"Raheem Mostert",MIA,"RB25","6","3 out of 5 stars","0"
"77",6,"George Kittle",SF,"TE6","9","4 out of 5 stars","-16"
"78",6,"Rashee Rice",KC,"WR37","6","3 out of 5 stars","+11"
"79",6,"Kyle Pitts",ATL,"TE7","12","3 out of 5 stars","-19"
"80",6,"Tony Pollard",TEN,"RB26","5","3 out of 5 stars","+2"
"81",6,"DeAndre Hopkins",TEN,"WR38","5","4 out of 5 stars","+12"
"82",6,"Hollywood Brown",KC,"WR39","6","3 out of 5 stars","-2"
"83",6,"Brock Purdy",SF,"QB11","9","2 out of 5 stars","0"
"84",6,"Jaylen Warren",PIT,"RB27","9","4 out of 5 stars","+2"
"85",7,"Brian Robinson Jr.",WAS,"RB28","14","3 out of 5 stars","+11"
"86",7,"Evan Engram",JAC,"TE8","12","3 out of 5 stars","-16"
"87",7,"Zack Moss",CIN,"RB29","12","3 out of 5 stars","-9"
"88",7,"Jayden Daniels",WAS,"QB12","14","3 out of 5 stars","+18"
"89",7,"Javonte Williams",DEN,"RB30","14","4 out of 5 stars","+5"
"90",7,"Christian Watson",GB,"WR40","10","4 out of 5 stars","+13"
"91",7,"Jordan Addison",MIN,"WR41","6","3 out of 5 stars","0"
"92",7,"Xavier Worthy",KC,"WR42","6","3 out of 5 stars","+3"
"93",7,"Jaxon Smith-Njigba",SEA,"WR43","10","3 out of 5 stars","+21"
"94",7,"Devin Singletary",NYG,"RB31","11","3 out of 5 stars","-6"
"95",7,"Tua Tagovailoa",MIA,"QB13","6","2 out of 5 stars","+4"
"96",7,"Jake Ferguson",DAL,"TE9","7","2 out of 5 stars","-15"
"97",7,"Jonathon Brooks",CAR,"RB32","11","4 out of 5 stars","-10"
"98",7,"David Njoku",CLE,"TE10","10","3 out of 5 stars","-13"
"99",7,"Jared Goff",DET,"QB14","5","4 out of 5 stars","+2"
"100",7,"Tyjae Spears",TEN,"RB33","5","3 out of 5 stars","+7"
"101",7,"Courtland Sutton",DEN,"WR44","14","2 out of 5 stars","+12"
"102",7,"Caleb Williams",CHI,"QB15","7","4 out of 5 stars","0"
"103",7,"Rome Odunze",CHI,"WR45","7","4 out of 5 stars","-6"
"104",7,"Trevor Lawrence",JAC,"QB16","12","5 out of 5 stars","+15"
"105",7,"Justin Herbert",LAC,"QB17","5","2 out of 5 stars","+4"
